ship direction [deg],ship speed [m/s],wind direction [deg],wind speed [m/s]
270,15,0,0
280,15,0,0
290,15,0,0
300,15,0,0
310,15,0,0
320,15,0,0
330,15,0,0
340,15,0,0
350,15,0,0
360,15,0,0
0,0,0,10
15,0,0,10
30,0,0,10
45,0,0,10
60,0,0,10
75,0,0,10
90,0,0,10
105,0,0,10
120,0,0,10
135,0,0,10
150,0,0,10
165,0,0,10
180,0,0,10
195,0,0,10
210,0,0,10
225,0,0,10
240,0,0,10
255,0,0,10
270,0,0,10
285,0,0,10
300,0,0,10
315,0,0,10
330,0,0,10
345,0,0,10
360,0,0,10
0,5,0,10
15,5,0,10
30,5,0,10
45,5,0,10
60,5,0,10
75,5,0,10
90,5,0,10
105,5,0,10
120,5,0,10
135,5,0,10
150,5,0,10
165,5,0,10
180,5,0,10
195,5,0,10
210,5,0,10
225,5,0,10
240,5,0,10
255,5,0,10
270,5,0,10
285,5,0,10
300,5,0,10
315,5,0,10
330,5,0,10
345,5,0,10
360,5,0,10
0,10,0,10
15,10,0,10
30,10,0,10
45,10,0,10
60,10,0,10
75,10,0,10
90,10,0,10
105,10,0,10
120,10,0,10
135,10,0,10
150,10,0,10
165,10,0,10
180,10,0,10
195,10,0,10
210,10,0,10
225,10,0,10
240,10,0,10
255,10,0,10
270,10,0,10
285,10,0,10
300,10,0,10
315,10,0,10
330,10,0,10
345,10,0,10
360,10,0,10
0,15,0,10
15,15,0,10
30,15,0,10
45,15,0,10
60,15,0,10
75,15,0,10
90,15,0,10
105,15,0,10
120,15,0,10
135,15,0,10
150,15,0,10
165,15,0,10
180,15,0,10
195,15,0,10
210,15,0,10
225,15,0,10
240,15,0,10
255,15,0,10
270,15,0,10
285,15,0,10
300,15,0,10
315,15,0,10
330,15,0,10
345,15,0,10
360,15,0,10
0,0,45,10
15,0,45,10
30,0,45,10
45,0,45,10
60,0,45,10
75,0,45,10
90,0,45,10
105,0,45,10
120,0,45,10
135,0,45,10
150,0,45,10
165,0,45,10
180,0,45,10
195,0,45,10
210,0,45,10
225,0,45,10
240,0,45,10
255,0,45,10
270,0,45,10
285,0,45,10
300,0,45,10
315,0,45,10
330,0,45,10
345,0,45,10
360,0,45,10
0,5,45,10
15,5,45,10
30,5,45,10
45,5,45,10
60,5,45,10
75,5,45,10
90,5,45,10
105,5,45,10
120,5,45,10
135,5,45,10
150,5,45,10
165,5,45,10
180,5,45,10
195,5,45,10
210,5,45,10
225,5,45,10
240,5,45,10
255,5,45,10
270,5,45,10
285,5,45,10
300,5,45,10
315,5,45,10
330,5,45,10
345,5,45,10
360,5,45,10
0,10,45,10
15,10,45,10
30,10,45,10
45,10,45,10
60,10,45,10
75,10,45,10
90,10,45,10
105,10,45,10
120,10,45,10
135,10,45,10
150,10,45,10
165,10,45,10
180,10,45,10
195,10,45,10
210,10,45,10
225,10,45,10
240,10,45,10
255,10,45,10
270,10,45,10
285,10,45,10
300,10,45,10
315,10,45,10
330,10,45,10
345,10,45,10
360,10,45,10
0,15,45,10
15,15,45,10
30,15,45,10
45,15,45,10
60,15,45,10
75,15,45,10
90,15,45,10
105,15,45,10
120,15,45,10
135,15,45,10
150,15,45,10
165,15,45,10
180,15,45,10
195,15,45,10
210,15,45,10
225,15,45,10
240,15,45,10
255,15,45,10
270,15,45,10
285,15,45,10
300,15,45,10
315,15,45,10
330,15,45,10
345,15,45,10
360,15,45,10
0,0,90,10
15,0,90,10
30,0,90,10
45,0,90,10
60,0,90,10
75,0,90,10
90,0,90,10
105,0,90,10
120,0,90,10
135,0,90,10
150,0,90,10
165,0,90,10
180,0,90,10
195,0,90,10
210,0,90,10
225,0,90,10
240,0,90,10
255,0,90,10
270,0,90,10
285,0,90,10
300,0,90,10
315,0,90,10
330,0,90,10
345,0,90,10
360,0,90,10
0,5,90,10
15,5,90,10
30,5,90,10
45,5,90,10
60,5,90,10
75,5,90,10
90,5,90,10
105,5,90,10
120,5,90,10
135,5,90,10
150,5,90,10
165,5,90,10
180,5,90,10
195,5,90,10
210,5,90,10
225,5,90,10
240,5,90,10
255,5,90,10
270,5,90,10
285,5,90,10
300,5,90,10
315,5,90,10
330,5,90,10
345,5,90,10
360,5,90,10
0,10,90,10
15,10,90,10
30,10,90,10
45,10,90,10
60,10,90,10
75,10,90,10
90,10,90,10
105,10,90,10
120,10,90,10
135,10,90,10
150,10,90,10
165,10,90,10
180,10,90,10
195,10,90,10
210,10,90,10
225,10,90,10
240,10,90,10
255,10,90,10
270,10,90,10
285,10,90,10
300,10,90,10
315,10,90,10
330,10,90,10
345,10,90,10
360,10,90,10
0,15,90,10
15,15,90,10
30,15,90,10
45,15,90,10
60,15,90,10
75,15,90,10
90,15,90,10
105,15,90,10
120,15,90,10
135,15,90,10
150,15,90,10
165,15,90,10
180,15,90,10
195,15,90,10
210,15,90,10
225,15,90,10
240,15,90,10
255,15,90,10
270,15,90,10
285,15,90,10
300,15,90,10
315,15,90,10
330,15,90,10
345,15,90,10
360,15,90,10
0,0,135,10
15,0,135,10
30,0,135,10
45,0,135,10
60,0,135,10
75,0,135,10
90,0,135,10
105,0,135,10
120,0,135,10
135,0,135,10
150,0,135,10
165,0,135,10
180,0,135,10
195,0,135,10
210,0,135,10
225,0,135,10
240,0,135,10
255,0,135,10
270,0,135,10
285,0,135,10
300,0,135,10
315,0,135,10
330,0,135,10
345,0,135,10
360,0,135,10
0,5,135,10
15,5,135,10
30,5,135,10
45,5,135,10
60,5,135,10
75,5,135,10
90,5,135,10
105,5,135,10
120,5,135,10
135,5,135,10
150,5,135,10
165,5,135,10
180,5,135,10
195,5,135,10
210,5,135,10
225,5,135,10
240,5,135,10
255,5,135,10
270,5,135,10
285,5,135,10
300,5,135,10
315,5,135,10
330,5,135,10
345,5,135,10
360,5,135,10
0,10,135,10
15,10,135,10
30,10,135,10
45,10,135,10
60,10,135,10
75,10,135,10
90,10,135,10
105,10,135,10
120,10,135,10
135,10,135,10
150,10,135,10
165,10,135,10
180,10,135,10
195,10,135,10
210,10,135,10
225,10,135,10
240,10,135,10
255,10,135,10
270,10,135,10
285,10,135,10
300,10,135,10
315,10,135,10
330,10,135,10
345,10,135,10
360,10,135,10
0,15,135,10
15,15,135,10
30,15,135,10
45,15,135,10
60,15,135,10
75,15,135,10
90,15,135,10
105,15,135,10
120,15,135,10
135,15,135,10
150,15,135,10
165,15,135,10
180,15,135,10
195,15,135,10
210,15,135,10
225,15,135,10
240,15,135,10
255,15,135,10
270,15,135,10
285,15,135,10
300,15,135,10
315,15,135,10
330,15,135,10
345,15,135,10
360,15,135,10
0,0,180,10
15,0,180,10
30,0,180,10
45,0,180,10
60,0,180,10
75,0,180,10
90,0,180,10
105,0,180,10
120,0,180,10
135,0,180,10
150,0,180,10
165,0,180,10
180,0,180,10
195,0,180,10
210,0,180,10
225,0,180,10
240,0,180,10
255,0,180,10
270,0,180,10
285,0,180,10
300,0,180,10
315,0,180,10
330,0,180,10
345,0,180,10
360,0,180,10
0,5,180,10
15,5,180,10
30,5,180,10
45,5,180,10
60,5,180,10
75,5,180,10
90,5,180,10
105,5,180,10
120,5,180,10
135,5,180,10
150,5,180,10
165,5,180,10
180,5,180,10
195,5,180,10
210,5,180,10
225,5,180,10
240,5,180,10
255,5,180,10
270,5,180,10
285,5,180,10
300,5,180,10
315,5,180,10
330,5,180,10
345,5,180,10
360,5,180,10
0,10,180,10
15,10,180,10
30,10,180,10
45,10,180,10
60,10,180,10
75,10,180,10
90,10,180,10
105,10,180,10
120,10,180,10
135,10,180,10
150,10,180,10
165,10,180,10
180,10,180,10
195,10,180,10
210,10,180,10
225,10,180,10
240,10,180,10
255,10,180,10
270,10,180,10
285,10,180,10
300,10,180,10
315,10,180,10
330,10,180,10
345,10,180,10
360,10,180,10
0,15,180,10
15,15,180,10
30,15,180,10
45,15,180,10
60,15,180,10
